,Tieu de,Tác giả,Người dịch,Nhà xuất bản,Nhà phát hành,Mã Sản phẩm,Giấy phép XB,Khối lượng,Ngôn ngữ,Định dạng,Kích thước,Ngày phát hành,Số trang
23,Tạp Chí Pi: Tập 6 - Số 7-8 (Tháng 08.2022),Nhiều tác giả,NaN,NaN,Tạp chí Pi,8938514372608,484/GP-BTTTT ngày 25/10/2016,400.00 gam,Tiếng Việt,Bìa mềm,19 x 27 cm,08/2022,62
24,Tạp Chí Pi: Tập 6 - Số 6 (Tháng 06.2022),NaN,NaN,NaN,Tạp chí Pi,8938514372592,484/GP-BTTTT ngày 25/10/2016,400.00 gam,Tiếng Việt,Bìa mềm,19 x 27 cm,06/2022,62
25,Để Số Đo Không Là Nỗi Lo - Tại Sao Ăn Ít Mà Vẫn Mập?,Đông Đồng,NaN,Nxb Thế giới,Skybooks,8935325008139,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2022,256
26,Hạ Đỏ (Tái Bản 2022),Nguyễn Nhật Ánh,NaN,Nxb Trẻ,NXB Trẻ,8934974177951,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20 x 12 x 0.5 cm,2022,184
27,Hành Trình Nhân Loại Nguồn Gốc Của Thịnh Vượng Và Bất Bình Đẳng,Oded Galor,NaN,NXB Dân Trí,Alpha books,8935270703622,NaN,500.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,300
28,Dinh dưỡng xanh,Vitoria Boutenko,Đoàn Trang,NXB Công Thương,Thái Hà,8935280909366,-QĐ/CT,300.00 gam,Tiếng Việt,Bìa mềm,14 x 20.5 cm,2022,271
29,"Tiền - Hiểu Rõ Hơn, Kiếm Tốt Hơn Và Cho Đi Nhiều Hơn",Rob Moore,NaN,Nxb Thế giới,Nhã Nam,8935235235182,NaN,900.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,2022,456
0,Tâm từ,Ajahn Brahm,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086856338,NaN,320.00 gam,Tiếng Việt,Bìa mềm,16.5 x 11.5 x 1 cm,2022,162
1,Ai Cũng Được Vui - Bộ Kỹ Năng Cho Trẻ Từ 1- 6 Tuổi,Hồ Huy Sơn,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086856215,NaN,450.00 gam,Tiếng Việt,Bìa mềm,17.5 x 17.5 cm,2022,24
2,Chinh Phục Mục Tiêu (Tái Bản 2022),Brian Tracy,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086856253,NaN,550.00 gam,Tiếng Việt,Bìa mềm,13 x 20.5 cm,2022,328
3,Dám Nghĩ Lớn (Khổ Nhỏ) - Tái Bản 2022,"David J Schwartz, PhD",NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086856123,NaN,650.00 gam,Tiếng Việt,Bìa mềm,15 x 10 cm,2022,448
4,Lời Nguyện Cầu Hạnh Phúc - The Happiness Prayer,Evan Moffic,Thiên Kim,NXB Hồng Đức,Văn Lang,8935074128294,-QĐ/HĐ,300.00 gam,Tiếng Việt,Bìa mềm,21 x 14 x 0.7 cm,2022,320
5,Thanh Xuân Của Tôi Làm Sao Đây?,Lưu Dĩnh,Ngân Nguyễn,Nxb Thanh Hóa,Văn Lang,8935074128447,-QĐ/TH,260.00 gam,Tiếng Việt,Bìa mềm,21 x 14 x 0.6 cm,2022,280
6,Tại Sao Càng Bận Càng Nghèo Càng Nhàn Càng Giàu,Trương Tịnh Vũ,NaN,Nxb Thanh Hóa,Văn Lang,8935074128645,-QĐ/TH,100.00 gam,Tiếng Việt,Bìa mềm,21 x 14 x 0.3 cm,2022,60
7,Bạn Đang Nghịch Gì Với Đời Mình? (Tái bản),J Krishnamurti,NaN,NXB Hồng Đức,Trí Việt,8935086856000,NaN,520.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,304
8,Tự Học Viết Tiếng Nhật (Tập 1) - 200 Chữ Kanji Căn Bản,Eriko Sato,NaN,Nxb Đại học Quốc gia TPHCM,Trí Việt,8935086855928,NaN,510.00 gam,Tiếng Việt,Bìa mềm,28.5 x 20.5 x 0.7 cm,2022,131
9,Điệp Viên Hoàn Hảo X6 - Bìa Cứng,Larry Berman,NaN,NXB Hồng Đức,Trí Việt,8935086855720,NaN,960.00 gam,Tiếng Việt,Bìa cứng,24 x 16 cm,2022,390
10,Nói Nhiều Không Bằng Nói Đúng - 36 Bí Quyết Để Chiếm Được Cảm Tình Của Người Khác,2 1/2 Bạn Tốt,Tuệ Văn,NXB Thanh Niên,Minh Long,8936067606591,-QĐ/NT,246.00 gam,Tiếng Việt,Bìa mềm,23 x 17 x 0.7 cm,2022,125
11,Hỏi Nhỏ Biết To - Thực Vật (Tái Bản 2022),Nhiều tác giả,NaN,Nxb Mỹ thuật,Minh Long,8936067606508,-QĐ/MT,145.00 gam,Tiếng Việt,Bìa mềm,21 x 18 cm,2022,72
