,Tieu de,Tác giả,Người dịch,Nhà xuất bản,Nhà phát hành,Mã Sản phẩm,Giấy phép XB,Khối lượng,Ngôn ngữ,Định dạng,Kích thước,Ngày phát hành,Số trang
12,Tâm Lý Học Biểu Cảm,Mã Hạo Thiên,Phi Tường,Nxb văn học,AZ books,8935325000669,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2021,252
13,Trăng Tròn Lần Tới Xin Hãy Đến Gặp Tôi,Kim Seong Joong,Kim Ngân,Nxb Thế giới,AZ books,8935325000720,NaN,450.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2021,336
14,Bác Hồ Với Phụ Nữ Và Thiếu Nhi - Uncle Hồ With Women And Children (Song Ngữ Việt - Anh),"Nguyệt Tú , Lardy Borton",NaN,NXB Phụ Nữ,NXB Phụ Nữ,9786043291056,NaN,300.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2021,188
15,Vị Giám Đốc Một Phút (Tái Bản 2019),"Spencer Johnson , Ken Blanchard",NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086848869,NaN,250.00 gam,Tiếng Việt,Bìa mềm,13 x 20.5 cm,2019,128
16,Horrible Science - Hệ Tiêu Hóa (Tái Bản 2021),Nick Arnold,NaN,Nxb Trẻ,NXB Trẻ,8934974171911,NaN,300.00 gam,Tiếng Việt,Bìa mềm,20 x 14 cm,2021,160
17,Người Cá - 아가미,Gu Byeong Mo,Ngân Hà,NXB Dân Trí,AZ books,8935325000294,NaN,400.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,04/2021,232
18,Đại hiệp Hồng Kông - Châu Nhuận Phát,Lin Feng,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086854327,NaN,480.00 gam,Tiếng Việt,Bìa mềm,14.5 x 20.5 cm,04/2021,364
19,Sống Sót Nơi Công Sở - English Business Writing - Viết Ư? Chuyện Nhỏ,Juliana Jiyoon Lee,Mai Ngọc Phương,NXB Dân Trí,Alpha books,8935251414776,NaN,350.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2021,276
20,100++ Cách Tạo Nên Một Thế Giới Tốt Đẹp Hơn,DK,Khánh Vân,NXB Thanh Niên,Đinh Tị,8935212354370,NaN,400.00 gam,Tiếng Việt,Bìa mềm,27.5 x 21.3 cm,2021,96
21,Bộ Sách Phát Triển IQ - EQ Đầu Đời Cho Bé - Bồi Dưỡng Tình Thân - Con Yêu Mẹ Lắm!,Tư Phàm,Nguyễn Đức Vịnh,NXB Thanh Niên,Đinh Tị,8935212354837,NaN,200.00 gam,Tiếng Việt,Bìa mềm,18.5 x 18.5 cm,2021,28
22,Bộ Sách Phát Triển IQ - EQ Đầu Đời Cho Bé - Biết Quý Trọng Tình Bạn - Nhím Con Mặc Áo,"Cát Băng , Trương Thụy Hoa",Nguyễn Đức Vịnh,NXB Thanh Niên,Đinh Tị,8935212354851,NaN,200.00 gam,Tiếng Việt,Bìa mềm,18.5 x 18.5 cm,2021,28
23,A Đây Rồi Hà Nội 7 Món (Tái Bản 2021),Trần Chiến,NaN,Nxb Trẻ,NXB Trẻ,8934974173380,NaN,320.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2021,216
24,Facebook: The Inside Story,Steven Levy,NaN,NaN,Fahasa,9780241297940,NaN,852.00 gam,Tiếng Nhật,Bìa cứng,24 x 16.2 x 4.3 cm,2021,592
25,Giã Từ Thơ Ngây,Park Hyun Wook,Hồng Hà,Nxb Hà Nội,Nhã Nam,8935235229624,NaN,300.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2021,192
26,Hạt Giống Tâm Hồn - Tập 3 - Từ Những Điều Bình Dị (Tái Bản 2020),Nhiều tác giả,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086851951,NaN,250.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2021,152
27,Hạt Giống Tâm Hồn - Tập 9: Vượt Qua Thử Thách (Tái Bản 2020),First News,"Thu Trang , Minh Tươi",Nxb Tổng hợp TP.HCM,Trí Việt,8935086852330,NaN,250.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 0.8 cm,2020,159
28,Toán Tiểu Học Tương Tác - Kỳ Thú Phân Số Và Số Thập Phân,"Rosie Hore , Luana Rinaldo",Hoàng My,NXB Dân Trí,Nhã Nam,8935235229075,NaN,400.00 gam,Tiếng Việt,Bìa mềm,25 x 21.5 cm,2021,72
29,Văn Bia Hán Nôm Thời Mạc - Tư Liệu Và Khảo Cứu,Đinh Khắc Thuân,NaN,Nxb Đại học Quốc gia Hà Nội,Cửu Đức,9786043243918,NaN,1500.00 gam,Tiếng Việt,Bìa mềm,16 x 24 cm,2020,756
0,The Big Four - 4 Đại Gia Kiểm Toán: Deloitte - PwC - EY - KPMG,"Stuart Kells , Ian D Gow",Phúc Chi,NXB Tài Chính,Nhà sách Hoa Sen,8936184340156,NaN,500.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,2020,272
1,Bách Khoa Thư Trẻ Em - Cuốn Sách Lí Giải Vạn Vật,DK,"Hoàng Lan , Thanh Loan",NXB Dân Trí,Đông A DC,8936071678386,NaN,1250.00 gam,Tiếng Việt,Bìa cứng,27.6 x 21.6 cm,2021,304
2,Cao Sơn Lưu Thủy Ngộ Tri Âm,Trần Đình Sơn,NaN,NXB Văn hóa - Văn nghệ,Cửu Đức,8935467829975,NaN,430.00 gam,Tiếng Việt,Bìa mềm,15 x 23.5 cm,2017,226
3,Ngã - Pháp,"Hồng Dương , Nguyễn Văn Hai",NaN,NXB Hồng Đức,Cửu Đức,9786048982904,NaN,450.00 gam,Tiếng Việt,Bìa cứng,14×20.5 cm,2019,185
4,Thiền Và Văn Hóa Nhật Bản,Suzuki T Daisetsu,NaN,NXB Hồng Đức,Cửu Đức,9786048980733,NaN,650.00 gam,Tiếng Việt,Bìa mềm,15.5 x 23.5 cm,2019,558
5,Việt Sử - Tư Liệu Với Lời Bàn,Hồ Bạch Thảo,NaN,NXB Hồng Đức,Cửu Đức,8935212336765,NaN,350.00 gam,Tiếng Việt,Bìa mềm,15 x 23.5 cm,08/2017,NaN
6,Hàn Quốc Dưới Chế Độ Độc Tài Phát Triển Park Chung Hee (1961 – 1979),Lê Tùng Lâm,NaN,Nxb Đại học Quốc gia TPHCM,Cửu Đức,9786047379170,NaN,400.00 gam,Tiếng Việt,Bìa mềm,13 x 21 cm,09/2020,325
7,"Cắt May Căn Bản - Phương Pháp Đo, Vẽ, Cắt May",Triệu Thị Chơi,NaN,NXB Hồng Đức,Việt Thư,9786048910471,NaN,550.00 gam,Tiếng Việt,Bìa mềm,26.5 x 19 cm,03/2021,240
8,Từ Điển Bằng Hình - Động Vật Dưới Nước (Tái Bản 2020),Hải Phạm,NaN,NXB Phụ Nữ,Việt Thư,9786045685334,NaN,600.00 gam,Tiếng Việt,Bìa mềm,29.5 x 20.5 cm,03/2020,36
9,"Từ Điển Bằng Tranh - Hoa, Quả, Rau Củ",JP Moon,NaN,NXB Phụ Nữ,Việt Thư,9786045690697,NaN,500.00 gam,Tiếng Việt,Bìa cứng,23 x 16 cm,03/2021,26
10,Từ Điển Bằng Tranh - Thế Giới Loài Chim,JP Moon,NaN,NXB Phụ Nữ,Việt Thư,9786045690673,NaN,500.00 gam,Tiếng Việt,Bìa cứng,23 x 16 cm,03/2021,28
11,7 Cách Để Thành Công,Lê Quang,NaN,NXB Phụ Nữ,Việt Thư,9786045692899,NaN,239.00 gam,Tiếng Việt,Bìa mềm,120 cm,03/2021,20.5 x 13 x 1
12,"Tạp Chí Wowweekend Vol 5 - Ấn Phẩm ""Những Câu Chuyện Thành Thị""",Nhiều tác giả,NaN,Thông Tấn,Cty Hoàng Gia Phan,9786043101089,NaN,800.00 gam,Tiếng Việt,Bìa mềm,21x 29.7 cm,03/2021,164
13,Nước Ép Xanh Chữa Lành Cơ Thể,"Tôn Thụ Hiệp , Vu Nhã Đình",NaN,NXB Thanh Niên,1980Books,8936066690188,NaN,350.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13.5 cm,03/2021,228
14,Thương Ai Đừng Đợi Đến Ngày Mai - Tặng Kèm 3 Postcard,Tác giả AT,NaN,Nxb văn học,AZ books,8936186549670,NaN,350.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,03/2021,232
15,Tạp Chí Pi: Tập 5 - Số 3 (Tháng 3.2021),Nhiều tác giả,NaN,NaN,Tạp chí Pi,8938514372462,NaN,176.00 gam,Tiếng Việt,Bìa mềm,19 x 27 cm cm,09/03/2021,64
16,Chúng Ta Thấy Lại Những Vì Sao,Jayson Greene,Nguyễn Nguyên Khôi,NXB Thanh Niên,BachvietBooks,9786043179101,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,03/2021,376
17,"Sài Gòn Một Thuở ""Dân Ông Tạ Đó!""",Cù Mai Công,NaN,Nxb Trẻ,NXB Trẻ,8934974171805,NaN,300.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,03/2021,174
18,Làm Bạn Thân Có Khó Không - Tập 2 - Tặng Kèm Bookmark + Poster Khổ Lớn (36x53cm),Yasushi DATE,Roku,Nxb Thế giới,AZ books,8936186545849,NaN,500.00 gam,Tiếng Việt,Bìa mềm,18 x 13 cm,03/2021,352
19,Ngũ Quái Sài Gòn 07: Kho Báu Núi Gấm,NaN,NaN,Nxb Trẻ,NXB Trẻ,8934974152392,NaN,270.00 gam,Tiếng Việt,Bìa mềm,12 x 20 cm,03/2021,250
20,Ngũ Quái Sài Gòn 03 - Chuyện Của Thạch Sầu Đời Và Hoàng Lãng Tử,NaN,NaN,Nxb Trẻ,NXB Trẻ,8934974150800,NaN,350.00 gam,Tiếng Việt,Bìa mềm,12 x 20 cm,03/2021,256
21,Những Bộ Óc Vĩ Đại Cha Đẻ Của Ngành Vi Sinh Vật Louis Pasteur,"Park Aera, An Sangsun",Trần Mai Chi,NXB Dân Trí,Alpha books,8935309500857,NaN,200.00 gam,Tiếng Việt,Bìa mềm,26 x 21 cm,03/2021,52
22,Chữa Bệnh Cao Huyết Áp Và Biến Chứng (Tái Bản 2021),Đỗ Đức Ngọc,NaN,Nxb Thanh Hóa,Văn Lang,8935074123398,NaN,340.00 gam,NaN,Bìa mềm,21 x 13.5 cm,03/2021,200
23,Tĩnh Lặng - Sức Mạnh Tĩnh Lặng Trong Thế Giới Huyền Ảo (Tái Bản 2020),Thích Nhất Hạnh,NaN,Nxb Thế giới,Thái Hà,8935280906402,NaN,300.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,03/2021,187
24,Đọc Thấu Tâm Can,Rita Carter,NaN,NXB Công Thương,Thái Hà,8935280907546,NaN,450.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,03/2021,144
25,Ăn Dặm Thông Minh - Nuôi Con Mau Lớn,"KS. Trương Thị Nhàn , BS. Lê Kim Huệ , Nguyễn Thị Ngọc Hương",NaN,NXB Phụ Nữ,Trí Việt,8935086853740,NaN,300.00 gam,Tiếng Việt,Bìa mềm,19 x 26 cm,03/2021,NaN
26,Phát Minh - Trong 30 Giây,TS Mike Goldsmith,Hoàng Nam,NXB Dân Trí,Alpha books,8935309500628,NaN,200.00 gam,Tiếng Việt,Bìa mềm,	23 x 17.5 cm,28/02/2021,96
27,Từ Điển Bằng Hình Thế Giới Khủng Long (Song Ngữ Anh - Việt),Hải Phạm,NaN,NXB Phụ Nữ,Việt Thư,9786045686652,NaN,336.00 gam,Tiếng Việt,Bìa mềm,29.5 x 20.5 cm,28/02/2021,36
28,Trải Nghiệm Nhân Viên,"Matthew Wride , Tracy Maylett",NaN,Nxb Thế giới,Saigon Books,8935278605515,NaN,350.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,10/03/2021,228
29,"Có Thanh Xuân Nào Không Đau Đớn, Có Tuổi Trẻ Nào Không Bão Giông",Rando Kim,Nguyễn Việt Tú Anh,Nxb Hà Nội,Nhã Nam,8935235229082,NaN,360.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,03/2021,250
0,Từ Nước Mắt Đến Nụ Cười,Marianne Williamson,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086853986,NaN,400.00 gam,Tiếng Việt,Bìa mềm,14.5 x 20.5 cm,02/2021,296
1,"Bộ Sách Ngủ Đi Nào, Con Yêu! + Ăn Đi Nào, Con Yêu! (Bộ 2 Cuốn) - Tặng Kèm Postcard Đáng Yêu Cho Bé",Adam Mansbach,NaN,NXB Phụ Nữ,AZ books,1130000093142,NaN,300.00 gam,Tiếng Việt,Bìa mềm,28.5 x 20.8 cm,02/2021,NaN
2,Ehon - Tiến Lên Xe Cứu Hỏa (Tái Bản 2020),Naokata Mase,Nguyễn Thị Thu,Nxb Lao động,Thái Hà,8935280906686,NaN,200.00 gam,Tiếng Việt,Bìa mềm,24 x 24 cm,02/2021,26
3,Cảm Ơn Bản Thân Không Hoàn Mỹ,Vũ Chí Hồng,Nguyễn Ngọc Quỳnh Anh,Nxb Thế giới,AZ books,8936186549069,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,02/2021,264
4,Em Làm Quen Với Khoa Học - Gấu Nâu Tìm Việc Làm,Ume Chan,Ume Chan,Nxb Hà Nội,Nhã Nam,8935235228689,NaN,200.00 gam,Tiếng Việt,Bìa mềm,20.5 x 20.5 cm,24/02/2021,20
5,"Bóc Lớp Vỏ Cứng, Dệt Lưới Che Lưng",Jim Randel,Ume Chan,Nxb Thế giới,AZ books,8936186548833,NaN,250.00 gam,Tiếng Việt,Bìa mềm,20 x 13.5 cm,24/02/2021,136
6,Tạp Bút Bảo Ninh (Tái Bản 2021),Bảo Ninh,NaN,Nxb Trẻ,NXB Trẻ,8934974171195,NaN,550.00 gam,Tiếng Việt,Bìa mềm,13 x 20 cm,02/2021,444
7,Cơ Hội Của Chúa: Tiểu Thuyết,Nguyễn Việt Hà,NaN,Nxb Trẻ,NXB Trẻ,8934974171201,NaN,600.00 gam,Tiếng Việt,Bìa mềm,13 x 20 cm,02/2021,526
8,Harper's Bazaar (Tháng 02/2021),Nhiều tác giả,NaN,Nxb văn học,Hoa Mặt trời,9786043230055,NaN,650.00 gam,Tiếng Việt,Bìa mềm,23 x 29 cm,03/02/2021,150
9,Từ Tâm Trí - Sức Mạnh Của Sự Sáng Tạo,Ken Robinson,Quế Hương,Nxb Đại Học Sư Phạm,Tân Việt,8935210263018,NaN,450.00 gam,Tiếng Việt,Bìa mềm,23 x 15 cm,01/2021,323
10,Tàu Ngầm Trong Chai Nước Chanh,Dương Thu Phương,NaN,Nxb Lao động,Thái Hà,8935280907324,NaN,350.00 gam,"Tiếng Việt, Tiếng Trung",Bìa mềm,20.5 x 14.5 cm,02/2021,128
11,Chọn Đúng Người Vào Đúng Việc,Sally Bibb,NaN,Nxb Thế giới,Saigon Books,8935278601814,NaN,450.00 gam,"Tiếng Việt, Tiếng Trung",Bìa mềm,20.5 x 14 cm,02/2021,208
12,Be Angry – Hãy Cứ Giận Đi,"Đức Đạt-Lai Lạt-Ma , Noriyuki Ueda",Thảo Triều,Nxb Lao động,Thái Hà,8935280907355,NaN,320.00 gam,Tiếng Việt,Bìa mềm,13 x 19 cm,02/2021,120
13,Chuyện Tình Thanh Xuân Bi Hài Của Tôi Quả Nhiên Là Sai Lầm - Tập 11 - Tặng Kèm Bookmark + Postcard + Thẻ Nhân Vật,Wataru WATARI,"Chán , Nguyên Phạm",Nxb Hà Nội,Thái Hà,8935280907348,NaN,550.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,02/2021,376
14,Kiếm Lời Từ Một Trật Tự Thế Giới Mới,Shaun Rein,"Su Hyun Yoo, Mi Hyeon Lee, Hyo Sil Lee, Min Seon Lee",NXB Dân Trí,Nhã Nam,8935235229242,NaN,510.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,01/2021,400
15,Cuộc Tình Trong Ngục Thất,Nguyễn Thị Hoàng,NaN,Nxb Hội Nhà Văn,Nhã Nam,8935235228894,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,01/2021,124
16,Vụ Án Mạng Ở Nhà Khách Núi Hakuba,Higashino Keigo,"Su Hyun Yoo, Mi Hyeon Lee, Hyo Sil Lee, Min Seon Lee",Nxb Hà Nội,Nhã Nam,8935235229228,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,01/2021,336
17,Gánh Hàng Hoa (Tái Bản 2020),Khái Hưng - Nhất Linh,NaN,Nxb Hội Nhà Văn,Nhã Nam,8935235228832,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,02/2021,308
18,Tâm Lý Học Về Tiền,Đỗ Văn Tâm,Hoàng Thị Minh Phúc,NXB Dân Trí,1980Books,8936066689953,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,01/2021,384
19,Nhật Kí Thế Giới Côn Trùng - Nhật Kí Chuồn Chuồn (Tái Bản 2020),"Lưu Bính Quân , Ngụy Vĩnh Hằng",Nguyễn Hòa,NXB Kim Đồng,NXB Kim Đồng,8935244850703,NaN,200.00 gam,Tiếng Việt,Bìa mềm,26 x 19 cm,02/2021,36
20,Nhật Kí Thế Giới Côn Trùng - Nhật Kí Bọ Rùa (Tái Bản 2020),"Ngô Ba , Từ Lỗ",Nguyễn Hòa,NXB Kim Đồng,NXB Kim Đồng,8935244850666,NaN,200.00 gam,Tiếng Việt,Bìa mềm,26 x 19 cm,02/2021,36
21,Phương Pháp Đếm 123 Kỳ Diệu Dành Cho Giáo Viên (Tái Bản 2021),Nhóm dịch D Institute,"Nhóm WeTransform , Huỳnh Hữu Tài",Nxb Lao động,Alpha books,8935309500345,NaN,460000.00 gam,Tiếng Việt,Bìa mềm,24 x 19 cm,01/2021,352
22,Loonshots: Từ Lạc Loài Đến Lẫy Lừng,Safi Bahcall,Kim Diệu,NXB Công Thương,Alpha books,8935251416237,NaN,520.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,29/01/2021,404
23,Các Loài Quý Hiếm Vùng Trường Sơn - Sự Sống Nơi Dãy Núi Hùng Vĩ Giữa Việt Nam Và Lào,Eric Losh,Lê Quỳnh Huệ,Nxb Thế giới,Nhã Nam,8935235214200,NaN,500.00 gam,Tiếng Việt,Bìa mềm,23 x 23 cm,12/2020,43
24,Không Hoảng Loạn Khi Con Kết Bạn - Thấu Hiểu Đời Sống Xã Hội Của Trẻ,"Michael Thompson , Lý Tứ",Khánh Thủy,Nxb Lao động,Thái Hà,8935280906167,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,01/2021,281
25,Trí Tuệ Tài Chính Dành Cho Nhà Quản Lý Nhân Sự - Financial Intelligence,"John Case , Karen Berman , Joe Knight",Nhóm dịch D Institute,NXB Công Thương,Alpha books,8935251416527,NaN,650.00 gam,Tiếng Việt,Bìa cứng,24 x 16 cm,01/2021,368
26,Hagakure - Luận Đàm Về Cốt Tủy Võ Sĩ Đạo,Yamamoto Tsunetomo,Hồ Hồng Đăng,NXB Dân Trí,Nhã Nam,8935235228153,NaN,560.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,01/2021,420
27,Rèn Con Kỹ Năng Sống - Dành Cho Trẻ 4 Đến 9 Tuổi,"Kenji Minoura , Masanobu Takahama",Phạm Thu Hương,Nxb Lao động,Thái Hà,8935280905986,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2020,237
28,Người Rỗng,Kenji Minoura,Kenji Minoura,Nxb văn học,Đông A DC,8936071677013,NaN,400.00 gam,Tiếng Việt,Bìa mềm,14.5 x 20.5 cm,12/2019,299
29,Bí Quyết Trở Thành Nhà Quản Lý Tài Ba,Julie Zhuo,Hoàng Anh,NXB Tài Chính,Trí Việt,8935086851135,NaN,450.00 gam,Tiếng Việt,Bìa mềm,14.5 x 20.5 cm,30/01/2021,332
0,Tương Lai Của Quyền Lực (Tái Bản 2018),"Joseph S Nye, Jr","Joseph S Nye, Jr",Nxb Lao động,BachvietBooks,9786049712869,NaN,600.00 gam,Tiếng Việt,Bìa mềm,14.5 x 20.5 cm,04/01/2021,492
1,Doanh Nghiệp Siêu Nhỏ For Dummies,"Cathy Cromell, The National Gardening Association",Chi Nhân,NXB Công Thương,Thái Hà,8935280907256,NaN,650.00 gam,Tiếng Việt,Bìa mềm,18.7 x 23.5 cm,12/2020,512
2,Infinite Dendrogram - Tập 1: Khởi Điểm Của Những Khả Năng - Tặng Kèm 1 Bookmark + 2 Postcard,Sakon Kaidou,NaN,Nxb Hà Nội,Nhã Nam,1130000092973,NaN,500.00 gam,Tiếng Việt,Bìa mềm,18 x 13 cm,12/2020,350
3,The Langmaster - Chinh Phục Ngữ Pháp Và Bài Tập Tiếng Anh Lớp 7 - Tập 2,Nguyễn Thị Thu Huế,NaN,Nxb Đại học Quốc gia Hà Nội,Minh Thắng,8935236417075,NaN,415.00 gam,Tiếng Việt,Bìa mềm,17 × 24 cm,12/2020,196
4,Bàn Về Hạnh Phúc,Matthieu Ricard,Lê Việt Liên,Nxb Lao động,Thái Hà,8935280907195,NaN,500.00 gam,Tiếng Việt,Bìa mềm,15.5 x 24 cm,30/12/2020,412
5,Cúi Lạy Trước Hỏi Sau,Gesshin Claire Greenwood,Châu Khánh Tâm,NXB Hồng Đức,Văn Lang,8935074122186,NaN,450.00 gam,Tiếng Việt,Bìa mềm,13.5 x 21 cm,30/12/2020,336
6,Không Chùn Bước (Tái bản 2018),Joseph M. Marshall III,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086843840,NaN,250.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 1 cm,25/12/2020,144
7,Nỗi Lo Âu Về Địa Vị (Tái Bản 2020),Alain de Botton,Trần Quốc Tân,Nxb Thế giới,Nhã Nam,8935235227798,NaN,480.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,23/12/2020,352
8,Đào Thoát Khỏi Mê Cung - Out Of The Maze,Spencer Johnson,Uyển Linh,Nxb Tổng hợp TP.HCM,Trí Việt,8935086853832,NaN,250.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,22/12/2020,102
9,Chicken Soup For The Soul Stories For A Better World 19 - Tin Vào Ngày Mai (Tái Bản 2020),Jack Canfield & Mark Victor Hansen,"Hồng Dũng , Vi Thảo Nguyên",Nxb Tổng hợp TP.HCM,Trí Việt,8935086851821,NaN,300.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13.5 cm,21/12/2020,176
10,Dinh Dưỡng Chữa Bệnh - Rau Củ,Villiam J Bennett,Nguyễn Mai Trung,Nxb Tổng hợp TP.HCM,Trí Việt,8935086851029,NaN,250.00 gam,Tiếng Việt,Bìa mềm,17 x 14 cm,21/12/2020,120
11,Từ Anna,NaN,NaN,Nxb Hội Nhà Văn,Nhã Nam,8935235228320,NaN,380.00 gam,Tiếng Việt,Bìa mềm,20 x 14.5 cm,17/12/2020,244
12,Cơ Thể Tự Chữa Lành: Nước Ép Cần Tây,Anthony William,Thanh Yên,NXB Thanh Niên,Huy Hoàng,8935095630622,NaN,600.00 gam,Tiếng Việt,Bìa mềm,23 x 18 cm,30/12/2020,312
13,Hà Nội Thanh Lịch (Tái Bản 2020),Hoàng Đạo Thúy,NaN,Nxb Hà Nội,Nhã Nam,8935235228498,NaN,410.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,30/12/2020,208
14,Muji - Đơn Giản Là Hoàn Mỹ,Nikkei Design,Thanh Huyền,NXB Công Thương,Thái Hà,8935280907188,NaN,300.00 gam,"Tiếng Việt, Tiếng Hàn",Bìa mềm,20.5 x 14.5 cm,15/12/2020,196
15,Khơi Nguồn Năng Lực - Truyền Cảm Hứng - Be A Mindsetter,Michael Gobran,Thế Anh,NXB Hồng Đức,Văn Lang,8935074122421,NaN,320.00 gam,Tiếng Việt,Bìa mềm,21 x 13.5 cm,14/12/2020,208
16,Phong Cách - Harper's Bazaar (Tháng 12/2020),NaN,NaN,Nxb văn học,Hoa Mặt trời,9786043076172,NaN,750.00 gam,Tiếng Việt,Bìa mềm,23 x 29 cm,2020,158
17,Thiền Thật Ra Không Khó,Trần Luân Tín,NaN,NXB Dân Trí,Saigon Books,8935278605409,NaN,300.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,08/12/2020,144
18,Khi Mọi Điểm Tựa Đều Mất,"Marci Shimoff , Carol Kline",NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086853948,NaN,400.00 gam,Tiếng Việt,Bìa mềm,14.5 x 20.5 cm,30/12/2020,280
19,Siêu Trí Tuệ - Khả Năng Sinh Tồn Và Thử Tài Thám Tử,Lê Quang,NaN,NXB Phụ Nữ,Việt Thư,9786045686683,NaN,245.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,03/12/2020,128
20,Từ Điển Bằng Hình Đầu Tiên Của Bé,Song Nghi,NaN,NXB Phụ Nữ,Việt Thư,9786043759006,NaN,862.00 gam,Tiếng Việt,Bìa cứng,27 x 19 cm,03/12/2020,46
21,Sinh Tố Trái Cây Làm Đẹp & Tăng Đề Kháng,Quỳnh Hương,NaN,NXB Phụ Nữ,Việt Thư,9786045689431,NaN,395.00 gam,Tiếng Việt,Bìa mềm,27 x 19 cm,03/12/2020,84
22,Dữ Liệu Lớn Cho Doanh Nghiệp Nhỏ For Dummies,Bernard Marr,Chi Nhân,NXB Công Thương,Thái Hà,8935280907065,NaN,756.00 gam,Tiếng Việt,Bìa mềm,24 x 18 cm,02/12/2020,408
23,Xứ - Rung Một Ngọn Mây,Trần Lê Khánh,NaN,Nxb Hội Nhà Văn,Tác Giả Trần Lê Khánh,9786043065497,NaN,650.00 gam,Tiếng Việt,Bìa cứng,15 x 19 cm,01/2020,260
24,Pep Guardiola - Một Cách Thắng Khác (Tặng Kèm Sổ Tay),Guillem Balague,Việt Cường,Nxb Hà Nội,TH Books,9786045556887,NaN,1100.00 gam,Tiếng Việt,Bìa mềm,16 x 24 cm,23/11/2020,598
25,Ehon - Vera Jewel Đi Học Muộn - Đến Trường Đúng Giờ Sao Lại Khó Vậy Nhỉ?,NaN,NaN,NXB Phụ Nữ,Quảng Văn,8936056796500,NaN,220.00 gam,Tiếng Việt,Bìa mềm,27 x 21.6 cm,27/11/2020,64
26,"0 - 9 Tuổi, Giai Đoạn Vàng Để Ươm Mầm Đa Trí Tuệ",NaN,Nguyễn Đỗ An Nhiên,NXB Phụ Nữ,Quảng Văn,8936056796487,NaN,500.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,26/11/2020,232
27,Ehon Bí Mật Của Vảy Vết Thương,NaN,Bảo Châu,NXB Phụ Nữ,Quảng Văn,8936056796531,NaN,150.00 gam,Tiếng Việt,Bìa mềm,24 x 22 cm,26/11/2020,28
28,Áo Giáp Của Iron Man Giá Bao Nhiêu?,NaN,"Thanh Mai , Ngọc Hân",NXB Dân Trí,Nhã Nam,8935235227927,NaN,490.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,26/11/2020,364
29,Nghề Giúp Việc,NaN,Hà Ly,NXB Phụ Nữ,NXB Phụ Nữ,9786045688724,NaN,450.00 gam,Tiếng Việt,Bìa mềm,23.5 x 15.5 cm,28/11/2020,320
0,Em Có Thể Tự Bảo Vệ Bản Thân!,"Su Hyun Yoo, Mi Hyeon Lee, Hyo Sil Lee, Min Seon Lee",NaN,Nxb Thế giới,Nhã Nam,8935235228306,NaN,600.00 gam,Tiếng Việt,Bìa mềm,25.5 x 19 cm,01/2021,208
